Verification Type,Check Slug,Check Name,Category,Lifecycle stage,Reason Slug,Reason Text,Status
selfie,selfie_video_content_detection,Content detection,fraud,alpha,explicit_nudity_detected,Explicit nudity was detected in the video.,failed
selfie,selfie_video_content_detection,Content detection,fraud,alpha,sexual_activity_detected,Sexual activity was detected in the video.,failed
selfie,selfie_video_content_detection,Content detection,fraud,alpha,suggestive_detected,Suggestive content was detected in the video.,failed
selfie,selfie_video_content_detection,Content detection,fraud,alpha,violence_detected,Violent content was detected in the video.,failed
selfie,selfie_video_content_detection,Content detection,fraud,alpha,weapons_detected,A weapon was detected in the video.,failed
selfie,selfie_video_content_detection,Content detection,fraud,alpha,self_harm_detected,Self-harm was detected in the video.,failed
selfie,selfie_video_content_detection,Content detection,fraud,alpha,graphic_content_detected,Graphic content was detected in the video.,failed
selfie,selfie_video_content_detection,Content detection,fraud,alpha,drugs_detected,Drugs or tobacco were detected in the video.,failed
selfie,selfie_video_content_detection,Content detection,fraud,alpha,alcohol_detected,Alcohol was detected in the video.,failed
selfie,selfie_video_content_detection,Content detection,fraud,alpha,hate_detected,Hate symbols were detected in the video.,failed
selfie,selfie_video_content_detection,Content detection,fraud,alpha,gambling_detected,Gambling was detected in the video.,failed
selfie,selfie_video_content_detection,Content detection,fraud,alpha,offensive_gesture_detected,An offensive gesture was detected in the video.,failed
selfie,selfie_video_quality_detection,Video quality,user_action_required,beta,corrupt,The video is corrupt.,failed
selfie,selfie_video_quality_detection,Video quality,user_action_required,beta,duration_too_short,The duration of the video was too short.,failed
selfie,selfie_video_quality_detection,Video quality,user_action_required,beta,low_bit_rate,The bit rate is too low.,failed
selfie,selfie_video_quality_detection,Video quality,user_action_required,beta,low_frame_rate,The frame rate is too low.,failed
selfie,selfie_video_quality_detection,Video quality,user_action_required,beta,not_found,There was no video uploaded.,failed
selfie,selfie_voice_detection,Voice detection,user_action_required,alpha,insufficient_audio_duration,The audio duration is too short.,failed
selfie,selfie_voice_detection,Voice detection,user_action_required,alpha,no_audio_present,No audio was detected in the video.,failed
selfie,selfie_voice_detection,Voice detection,user_action_required,alpha,no_speech_detected,No speech was detected in the audio.,failed
selfie,selfie_voice_detection,Voice detection,user_action_required,alpha,number_mismatch,The spoken number does not match the expected number.,failed
